"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"434","Berlin-Treptow","13.4699","52.4553","35.0","https://cdc.dwd.de/rest/metadata/station/html/812300032551"
"433","Berlin-Tempelhof","13.4021","52.4675","48.0","https://cdc.dwd.de/rest/metadata/station/html/812300083047"
"402","Berlin-Dahlem (LFAG)","13.2997","52.4564","55.0","https://cdc.dwd.de/rest/metadata/station/html/812300089319"
"427","Berlin-Schönefeld","13.5306","52.3807","46.0","https://cdc.dwd.de/rest/metadata/station/html/812300201575"
"422","Berlin-Mitte","13.3833","52.5333","35.0","https://cdc.dwd.de/rest/metadata/station/html/812300207847"
"403","Berlin-Dahlem (FU)","13.3017","52.4537","51.0","https://cdc.dwd.de/rest/metadata/station/html/812300258343"
"432","Berlin-Tegeler Fliesstal","13.2952","52.6044","36.0","https://cdc.dwd.de/rest/metadata/station/html/812300326375"
"430","Berlin-Tegel","13.3088","52.5644","36.0","https://cdc.dwd.de/rest/metadata/station/html/812300376871"
"417","Berlin-Lichterfelde (Süd)","13.3036","52.4144","43.0","https://cdc.dwd.de/rest/metadata/station/html/812300501671"
"400","Berlin-Buch","13.5022","52.6309","60.0","https://cdc.dwd.de/rest/metadata/station/html/812300552167"
"429","Berlin-Spandau","13.1694","52.5667","32.0","https://cdc.dwd.de/rest/metadata/station/html/812300620199"
"420","Berlin-Marzahn","13.5598","52.5447","60.0","https://cdc.dwd.de/rest/metadata/station/html/812300670695"
"435","Berlin-Zehlendorf","13.2327","52.4289","45.0","https://cdc.dwd.de/rest/metadata/station/html/812300738727"
"3987","Potsdam","13.0622","52.3813","81.0","https://cdc.dwd.de/rest/metadata/station/html/812300794215"
"416","Berlin-Lichtenrade","13.4127","52.4069","47.0","https://cdc.dwd.de/rest/metadata/station/html/812300795495"
"399","Berlin-Alexanderplatz","13.4057","52.5198","36.0","https://cdc.dwd.de/rest/metadata/station/html/812300845991"
"425","Berlin-Rudow","13.4838","52.4044","38.0","https://cdc.dwd.de/rest/metadata/station/html/812300914023"
"410","Berlin-Kaniswall","13.7309","52.404","33.0","https://cdc.dwd.de/rest/metadata/station/html/812300964519"
"2621","Kleinmachnow","13.2319","52.4036","42.0","https://cdc.dwd.de/rest/metadata/station/html/812300998183"
"4894","Hennigsdorf b. Berlin-Stolpe-Süd","13.2352","52.6286","37.0","https://cdc.dwd.de/rest/metadata/station/html/812301000649"
"3205","Marwitz (Wasserwerk)","13.179","52.6579","33.0","https://cdc.dwd.de/rest/metadata/station/html/812301000741"
"407","Berlin-Frohnau","13.2858","52.6461","48.0","https://cdc.dwd.de/rest/metadata/station/html/812301001015"
"4799","Staaken/Brandbg.","13.1333","52.5333","34.0","https://cdc.dwd.de/rest/metadata/station/html/812301002156"
"394","Berlin (Rosenthal)","13.3833","52.5903","43.0","https://cdc.dwd.de/rest/metadata/station/html/812301002526"
"4537","Schöneiche bei Berlin","13.6863","52.4653","40.0","https://cdc.dwd.de/rest/metadata/station/html/812301003591"
"4814","Stahnsdorf","13.2194","52.3903","40.0","https://cdc.dwd.de/rest/metadata/station/html/812301003612"
"404","Berlin-Friedrichsfelde","13.5215","52.5047","38.0","https://cdc.dwd.de/rest/metadata/station/html/812301003991"
"409","Berlin-Johannisthal","13.5","52.45","35.0","https://cdc.dwd.de/rest/metadata/station/html/812301003992"
"412","Berlin-Karlshorst","13.5167","52.4833","35.0","https://cdc.dwd.de/rest/metadata/station/html/812301003993"
"418","Berlin-Lichterfelde Ost","13.3316","52.4089","45.0","https://cdc.dwd.de/rest/metadata/station/html/812301003994"
"419","Berlin-Malchow","13.4832","52.5753","53.0","https://cdc.dwd.de/rest/metadata/station/html/812301003995"
"549","Blumberg, Kreis Barnim","13.6049","52.6067","75.0","https://cdc.dwd.de/rest/metadata/station/html/812301005440"
"53","Ahrensfelde","13.5634","52.585","60.0","https://cdc.dwd.de/rest/metadata/station/html/812301005501"
"5953","Schönwalde","13.1397","52.6008","33.0","https://cdc.dwd.de/rest/metadata/station/html/812301006456"
"413","Berlin-Kaulsdorf","13.5799","52.5044","39.0","https://cdc.dwd.de/rest/metadata/station/html/812301007012"
"426","Berlin-Schmöckwitz","13.6236","52.3823","35.0","https://cdc.dwd.de/rest/metadata/station/html/812301007013"
"1818","Großbeeren","13.3167","52.3667","40.0","https://cdc.dwd.de/rest/metadata/station/html/812301008342"
"401","Berlin-Charlottenburg","13.2667","52.5167","55.0","https://cdc.dwd.de/rest/metadata/station/html/812301009934"
"414","Berlin-Köpenick","13.5899","52.4753","36.0","https://cdc.dwd.de/rest/metadata/station/html/812301009936"
"421","Berlin-Marzahn,  Apw","13.55","52.5333","52.0","https://cdc.dwd.de/rest/metadata/station/html/812301009938"
"6193","Neuenhagen bei Berlin","13.6915","52.5239","58.0","https://cdc.dwd.de/rest/metadata/station/html/812301010907"
"4450","Schildow","13.3833","52.6333","40.0","https://cdc.dwd.de/rest/metadata/station/html/812301011040"
"4637","Staaken","13.1243","52.5404","31.0","https://cdc.dwd.de/rest/metadata/station/html/812301011063"
"406","Berlin-Friedrichshain","13.4167","52.5167","33.0","https://cdc.dwd.de/rest/metadata/station/html/812301011496"
